Title,Artist,Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Uploaded Image URL,Activities
暖暖,梁静茹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:49:27.732077956,,,,,,,,,0,,
朋友,周华健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:14:52.894642949,,,,,,,,友情,0,,
朋友别哭,吕方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:37:59.605885028,,,,,,,,友情,0,,
朋友的酒,李晓杰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:38:40.938956022,,,,,,,,友情,0,,
漂洋过海来看你,刘明湘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:49:49.157377958,,,,,,,,,0,,
骑上我心爱的小摩托,静 Sir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:19:21.725844979,,,,,,,,,0,,
千层套路,中村千寻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:21:41.779736042,,,,,,,,爱情,0,,
千江月,何训田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:46:21.861206054,,,,,,,,,0,,
亲爱的旅人啊,周深,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:50:06.240918993,,,,,,,,,0,,
青鸟,陈乐一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:50:26.521836996,,,,,,,,,0,,
去流浪,周笔畅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:59:20.331092953,,,,,,,,,0,,
人间情多,李殊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 21:01:35.375570058,,,,,,,,人生,0,,
日遭三险（相声）,刘宝瑞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 21:05:36.411098957,,,,,,,,相声,0,,
杀死那个石家庄人,万能青年旅店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:50:45.346380949,,,,,,,,,0,,
山丘,李宗盛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:50:58.617990016,,,,,,,,,0,,
时光•留下,矿院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:51:25.503870010,,,,,,,,,0,,
世间美好与你环环相扣,柏松,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:51:47.312067031,,,,,,,,,0,,
岁月神偷,金玟岐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:45:40.886392951,,,,,,,,,0,,
天使的翅膀,安琥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:07:37.457445025,,,,,,,,爱情,0,,
